,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
0,1,0,0,1,9.84,14.395,81,0.0,16
1,1,0,0,1,9.02,13.635,80,0.0,40
2,1,0,0,1,9.02,13.635,80,0.0,32
3,1,0,0,1,9.84,14.395,75,0.0,13
4,1,0,0,1,9.84,14.395,75,0.0,1
5,1,0,0,2,9.84,12.88,75,6.0032,1
6,1,0,0,1,9.02,13.635,80,0.0,2
7,1,0,0,1,8.2,12.88,86,0.0,3
8,1,0,0,1,9.84,14.395,75,0.0,8
9,1,0,0,1,13.12,17.425,76,0.0,14
10,1,0,0,1,15.58,19.695,76,16.9979,36
11,1,0,0,1,14.76,16.665,81,19.0012,56
12,1,0,0,1,17.22,21.21,77,19.0012,84
13,1,0,0,2,18.86,22.725,72,19.9995,94
14,1,0,0,2,18.86,22.725,72,19.0012,106
15,1,0,0,2,18.04,21.97,77,19.9995,110
16,1,0,0,2,17.22,21.21,82,19.9995,93
17,1,0,0,2,18.04,21.97,82,19.0012,67
18,1,0,0,3,17.22,21.21,88,16.9979,35
19,1,0,0,3,17.22,21.21,88,16.9979,37
20,1,0,0,2,16.4,20.455,87,16.9979,36
21,1,0,0,2,16.4,20.455,87,12.998,34
22,1,0,0,2,16.4,20.455,94,15.0013,28
23,1,0,0,2,18.86,22.725,88,19.9995,39
24,1,0,0,2,18.86,22.725,88,19.9995,17
25,1,0,0,2,18.04,21.97,94,16.9979,17
26,1,0,0,2,17.22,21.21,100,19.0012,9
27,1,0,0,2,18.86,22.725,94,12.998,6
28,1,0,0,2,18.86,22.725,94,12.998,3
29,1,0,0,3,17.22,21.21,77,19.9995,2
30,1,0,0,2,16.4,20.455,76,12.998,1
31,1,0,0,3,16.4,20.455,71,15.0013,8
32,1,0,0,2,15.58,19.695,76,15.0013,20
33,1,0,0,2,14.76,17.425,81,15.0013,53
34,1,0,0,2,14.76,16.665,71,16.9979,70
35,1,0,0,2,14.76,16.665,66,19.9995,93
36,1,0,0,2,14.76,17.425,66,8.9981,75
37,1,0,0,3,14.76,17.425,76,12.998,59
38,1,0,0,3,13.94,16.665,81,11.0014,74
39,1,0,0,3,13.94,16.665,71,11.0014,76
40,1,0,0,1,13.94,16.665,57,12.998,65
41,1,0,0,2,14.76,16.665,46,22.0028,53
42,1,0,0,1,13.12,14.395,42,30.0026,30
43,1,0,0,1,12.3,13.635,39,23.9994,22
44,1,0,0,1,10.66,11.365,44,22.0028,31
45,1,0,0,1,9.84,10.605,44,19.9995,9
46,1,0,0,1,9.02,11.365,47,11.0014,8
47,1,0,1,1,9.02,9.85,44,23.9994,5
48,1,0,1,1,8.2,8.335,44,27.9993,2
49,1,0,1,1,6.56,6.82,47,26.0027,1
50,1,0,1,1,6.56,6.82,47,19.0012,3
51,1,0,1,1,5.74,5.305,50,26.0027,30
52,1,0,1,1,5.74,6.82,50,12.998,64
53,1,0,1,1,5.74,6.06,50,19.0012,154
54,1,0,1,1,6.56,6.82,43,26.0027,88
55,1,0,1,1,7.38,8.335,43,16.9979,44
56,1,0,1,1,8.2,9.09,40,22.0028,51
57,1,0,1,1,9.02,10.605,35,19.9995,61
58,1,0,1,1,9.84,10.605,35,19.0012,61
59,1,0,1,1,10.66,12.12,30,19.0012,77
60,1,0,1,1,10.66,12.12,30,16.9979,72
61,1,0,1,1,10.66,12.12,30,16.9979,76
62,1,0,1,1,9.84,11.365,30,15.0013,157
63,1,0,1,1,9.84,12.88,32,7.0015,157
64,1,0,1,1,8.2,12.88,47,0.0,110
65,1,0,1,1,8.2,11.365,47,7.0015,52
66,1,0,1,1,7.38,9.85,64,8.9981,52
67,1,0,1,1,5.74,7.575,69,8.9981,20
68,1,0,1,1,7.38,10.605,55,7.0015,12
69,1,0,1,1,6.56,9.09,55,7.0015,5
70,1,0,1,1,6.56,9.09,59,7.0015,2
71,1,0,1,1,5.74,7.575,63,8.9981,1
72,1,0,1,1,5.74,9.09,63,6.0032,2
73,1,0,1,1,4.92,7.575,68,7.0015,4
74,1,0,1,1,4.92,7.575,74,7.0015,36
75,1,0,1,1,4.92,7.575,74,8.9981,94
76,1,0,1,1,5.74,7.575,69,11.0014,179
77,1,0,1,1,6.56,7.575,64,15.0013,100
78,1,0,1,2,6.56,6.82,69,22.0028,42
79,1,0,1,1,9.02,10.605,51,19.9995,57
80,1,0,1,1,9.02,11.365,51,11.0014,78
81,1,0,1,1,9.84,11.365,56,12.998,97
82,1,0,1,1,10.66,12.88,52,15.0013,63
83,1,0,1,1,11.48,13.635,52,16.9979,65
84,1,0,1,1,12.3,14.395,49,16.9979,83
85,1,0,1,1,11.48,13.635,48,15.0013,212
86,1,0,1,1,10.66,12.88,48,12.998,182
87,1,0,1,1,9.84,12.88,48,7.0015,112
88,1,0,1,1,9.84,12.88,48,7.0015,54
89,1,0,1,1,9.02,13.635,64,0.0,48
90,1,0,1,1,9.02,12.88,64,6.0032,35
91,1,0,1,1,8.2,11.365,69,6.0032,11
92,1,0,1,1,8.2,12.88,64,0.0,6
93,1,0,1,1,6.56,9.85,74,6.0032,6
94,1,0,1,1,6.56,9.85,74,6.0032,2
95,1,0,1,1,9.84,11.365,48,15.0013,2
96,1,0,1,1,9.02,11.365,47,11.0014,3
