datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
1/1/2018 0:00,1,0,0,1,9.84,14.395,81,0,16
1/1/2018 1:00,1,0,0,1,9.02,13.635,80,0,40
1/1/2018 2:00,1,0,0,1,9.02,13.635,80,0,32
1/1/2018 3:00,1,0,0,1,9.84,14.395,75,0,13
1/1/2018 4:00,1,0,0,1,9.84,14.395,75,0,1
1/1/2018 5:00,1,0,0,2,9.84,12.88,75,6.0032,1
1/1/2018 6:00,1,0,0,1,9.02,13.635,80,0,2
1/1/2018 7:00,1,0,0,1,8.2,12.88,86,0,3
1/1/2018 8:00,1,0,0,1,9.84,14.395,75,0,8
1/1/2018 9:00,1,0,0,1,13.12,17.425,76,0,14
1/1/2018 10:00,1,0,0,1,15.58,19.695,76,16.9979,36
1/1/2018 11:00,1,0,0,1,14.76,16.665,81,19.0012,56
1/1/2018 12:00,1,0,0,1,17.22,21.21,77,19.0012,84
1/1/2018 13:00,1,0,0,2,18.86,22.725,72,19.9995,94
1/1/2018 14:00,1,0,0,2,18.86,22.725,72,19.0012,106
1/1/2018 15:00,1,0,0,2,18.04,21.97,77,19.9995,110
1/1/2018 16:00,1,0,0,2,17.22,21.21,82,19.9995,93
1/1/2018 17:00,1,0,0,2,18.04,21.97,82,19.0012,67
1/1/2018 18:00,1,0,0,3,17.22,21.21,88,16.9979,35
1/1/2018 19:00,1,0,0,3,17.22,21.21,88,16.9979,37
1/1/2018 20:00,1,0,0,2,16.4,20.455,87,16.9979,36
1/1/2018 21:00,1,0,0,2,16.4,20.455,87,12.998,34
1/1/2018 22:00,1,0,0,2,16.4,20.455,94,15.0013,28
1/1/2018 23:00,1,0,0,2,18.86,22.725,88,19.9995,39
1/2/2018 0:00,1,0,0,2,18.86,22.725,88,19.9995,17
1/2/2018 1:00,1,0,0,2,18.04,21.97,94,16.9979,17
1/2/2018 2:00,1,0,0,2,17.22,21.21,100,19.0012,9
1/2/2018 3:00,1,0,0,2,18.86,22.725,94,12.998,6
1/2/2018 4:00,1,0,0,2,18.86,22.725,94,12.998,3
1/2/2018 6:00,1,0,0,3,17.22,21.21,77,19.9995,2
1/2/2018 7:00,1,0,0,2,16.4,20.455,76,12.998,1
1/2/2018 8:00,1,0,0,3,16.4,20.455,71,15.0013,8
1/2/2018 9:00,1,0,0,2,15.58,19.695,76,15.0013,20
1/2/2018 10:00,1,0,0,2,14.76,17.425,81,15.0013,53
1/2/2018 11:00,1,0,0,2,14.76,16.665,71,16.9979,70
1/2/2018 12:00,1,0,0,2,14.76,16.665,66,19.9995,93
1/2/2018 13:00,1,0,0,2,14.76,17.425,66,8.9981,75
1/2/2018 14:00,1,0,0,3,14.76,17.425,76,12.998,59
1/2/2018 15:00,1,0,0,3,13.94,16.665,81,11.0014,74
1/2/2018 16:00,1,0,0,3,13.94,16.665,71,11.0014,76
1/2/2018 17:00,1,0,0,1,13.94,16.665,57,12.998,65
1/2/2018 18:00,1,0,0,2,14.76,16.665,46,22.0028,53
1/2/2018 19:00,1,0,0,1,13.12,14.395,42,30.0026,30
1/2/2018 20:00,1,0,0,1,12.3,13.635,39,23.9994,22
1/2/2018 21:00,1,0,0,1,10.66,11.365,44,22.0028,31
1/2/2018 22:00,1,0,0,1,9.84,10.605,44,19.9995,9
1/2/2018 23:00,1,0,0,1,9.02,11.365,47,11.0014,8
1/3/2018 0:00,1,0,1,1,9.02,9.85,44,23.9994,5
1/3/2018 1:00,1,0,1,1,8.2,8.335,44,27.9993,2
1/3/2018 4:00,1,0,1,1,6.56,6.82,47,26.0027,1
1/3/2018 5:00,1,0,1,1,6.56,6.82,47,19.0012,3
1/3/2018 6:00,1,0,1,1,5.74,5.305,50,26.0027,30
1/3/2018 7:00,1,0,1,1,5.74,6.82,50,12.998,64
1/3/2018 8:00,1,0,1,1,5.74,6.06,50,19.0012,154
1/3/2018 9:00,1,0,1,1,6.56,6.82,43,26.0027,88
1/3/2018 10:00,1,0,1,1,7.38,8.335,43,16.9979,44
1/3/2018 11:00,1,0,1,1,8.2,9.09,40,22.0028,51
1/3/2018 12:00,1,0,1,1,9.02,10.605,35,19.9995,61
1/3/2018 13:00,1,0,1,1,9.84,10.605,35,19.0012,61
1/3/2018 14:00,1,0,1,1,10.66,12.12,30,19.0012,77
1/3/2018 15:00,1,0,1,1,10.66,12.12,30,16.9979,72
1/3/2018 16:00,1,0,1,1,10.66,12.12,30,16.9979,76
1/3/2018 17:00,1,0,1,1,9.84,11.365,30,15.0013,157
1/3/2018 18:00,1,0,1,1,9.84,12.88,32,7.0015,157
1/3/2018 19:00,1,0,1,1,8.2,12.88,47,0,110
1/3/2018 20:00,1,0,1,1,8.2,11.365,47,7.0015,52
1/3/2018 21:00,1,0,1,1,7.38,9.85,64,8.9981,52
1/3/2018 22:00,1,0,1,1,5.74,7.575,69,8.9981,20
1/3/2018 23:00,1,0,1,1,7.38,10.605,55,7.0015,12
1/4/2018 0:00,1,0,1,1,6.56,9.09,55,7.0015,5
1/4/2018 1:00,1,0,1,1,6.56,9.09,59,7.0015,2
