season,holiday,workingday,weather,temp,humidity,count,year,month,day,hour,dayofweek
1,0,0,1,9.84,81,16,2018,1,1,0,0
1,0,0,1,9.02,80,40,2018,1,1,1,0
1,0,0,1,9.02,80,32,2018,1,1,2,0
1,0,0,1,9.84,75,13,2018,1,1,3,0
1,0,0,1,9.84,75,1,2018,1,1,4,0
1,0,0,2,9.84,75,1,2018,1,1,5,0
1,0,0,1,9.02,80,2,2018,1,1,6,0
1,0,0,1,8.2,86,3,2018,1,1,7,0
1,0,0,1,9.84,75,8,2018,1,1,8,0
1,0,0,1,13.12,76,14,2018,1,1,9,0
1,0,0,1,15.58,76,36,2018,1,1,10,0
1,0,0,1,14.76,81,56,2018,1,1,11,0
1,0,0,1,17.22,77,84,2018,1,1,12,0
1,0,0,2,18.86,72,94,2018,1,1,13,0
1,0,0,2,18.86,72,106,2018,1,1,14,0
1,0,0,2,18.04,77,110,2018,1,1,15,0
1,0,0,2,17.22,82,93,2018,1,1,16,0
1,0,0,2,18.04,82,67,2018,1,1,17,0
1,0,0,3,17.22,88,35,2018,1,1,18,0
1,0,0,3,17.22,88,37,2018,1,1,19,0
1,0,0,2,16.4,87,36,2018,1,1,20,0
1,0,0,2,16.4,87,34,2018,1,1,21,0
1,0,0,2,16.4,94,28,2018,1,1,22,0
1,0,0,2,18.86,88,39,2018,1,1,23,0
1,0,0,2,18.86,88,17,2018,1,2,0,1
1,0,0,2,18.04,94,17,2018,1,2,1,1
1,0,0,2,17.22,100,9,2018,1,2,2,1
1,0,0,2,18.86,94,6,2018,1,2,3,1
1,0,0,2,18.86,94,3,2018,1,2,4,1
1,0,0,3,17.22,77,2,2018,1,2,6,1
1,0,0,2,16.4,76,1,2018,1,2,7,1
1,0,0,3,16.4,71,8,2018,1,2,8,1
1,0,0,2,15.58,76,20,2018,1,2,9,1
1,0,0,2,14.76,81,53,2018,1,2,10,1
1,0,0,2,14.76,71,70,2018,1,2,11,1
1,0,0,2,14.76,66,93,2018,1,2,12,1
1,0,0,2,14.76,66,75,2018,1,2,13,1
1,0,0,3,14.76,76,59,2018,1,2,14,1
1,0,0,3,13.94,81,74,2018,1,2,15,1
1,0,0,3,13.94,71,76,2018,1,2,16,1
1,0,0,1,13.94,57,65,2018,1,2,17,1
1,0,0,2,14.76,46,53,2018,1,2,18,1
1,0,0,1,13.12,42,30,2018,1,2,19,1
